obsnme,obsval,weight,obgnme
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3652.5,34.62650382,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3683.5,34.63356031,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3712.5,34.68438223,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3743.5,34.75615702,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3773.5,34.81333401,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3804.5,34.83323962,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3834.5,34.80143088,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3865.5,34.71769605,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3896.5,34.60229416,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3926.5,34.48534413,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3957.5,34.3891582,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3987.5,34.34174718,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4018.5,34.35132551,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4049.5,34.41128049,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4077.5,34.49780089,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4108.5,34.60081157,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4138.5,34.67974357,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4169.5,34.71575457,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4199.5,34.6954004,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4230.5,34.62076451,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4261.5,34.51270686,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4291.5,34.40187767,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4322.5,34.3112367,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4352.5,34.26867585,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4383.5,34.30728991,1.0,oname:heads.csv_otype:lst_usecol:trgw-0-2-15
