NN,MED,MOD
1,840.8,840.9484
2,840.7,840.9478
3,840.7,840.9472
4,840.6,840.9466
5,840.6,840.946
6,840.4,840.9432
7,840.3,840.9403
8,840.1,840.9357
9,839.9,840.9299
10,839.8,840.9241
11,839.5,840.9125
12,839.3,840.8986
13,839.2,840.8837
14,838.8,840.8441
15,838.5,840.8032
16,838.3,840.7687
17,838.1,840.6975
18,837.9,840.5987
19,837.9,840.5488
20,837.7,840.4489
21,837.6,840.349
22,837.6,840.174
23,837.5,840.1118
24,837.3,839.951
25,837.2,839.7902
26,837.2,839.7422
27,837.1,839.6566
28,837,839.4302
29,836.8,838.9427
30,836.6,838.5657
31,836.5,838.397
32,836.4,837.9268
33,836.3,837.4526
34,836.2,836.5043
35,836.1,835.556
36,836.1,835.2794
37,836,835.3892
38,836.1,835.4321
39,836.2,835.4752
40,836.4,835.5613
41,836.6,835.6259
42,837.5,836.3238
43,837.8,836.721
44,838.8,838.1279
45,839.3,838.8867
46,839.6,839.2807
47,839.9,839.5634
48,840.1,839.7394
49,840.3,839.8928
50,840.4,839.9779
51,840.6,840.0631
52,840.8,840.1481
53,840.7,840.8304
54,836,834.6932
55,840.7,839.9462
56,840.8,841.0044
57,837.7,839.715
58,840.8,840.3626
59,840.8,841.0236
60,840.8,840.4625
61,840.8,840.471
62,840.6,840.688
63,837.5,839.1782
64,840.6,839.9003
