package,variable,min,mean,max,layer,period,count
dis,top,290.36,323.665102739726,369.5,,,
dis,botm,283.76,316.85976027397254,355.77,0.0,,
dis,botm,275.03,310.19672077922075,352.95,1.0,,
dis,botm,258.94,297.32226744186045,352.95,2.0,,
dis,botm,241.13,285.43963172804536,352.95,3.0,,
dis,botm,188.22,194.6872972972973,204.13,4.0,,
dis,idomain,1.0,1.0,1.0,0.0,,
dis,idomain,1.0,1.0,1.0,1.0,,
dis,idomain,-1.0,0.9709302325581395,1.0,2.0,,
dis,idomain,-1.0,0.9320113314447592,1.0,3.0,,
dis,idomain,1.0,1.0,1.0,4.0,,
ic,strt,290.36,323.665102739726,369.5,0.0,,
ic,strt,289.57,323.2366233766234,369.5,1.0,,
ic,strt,289.57,321.42299418604654,369.5,2.0,,
ic,strt,289.57,320.94645892351275,369.5,3.0,,
ic,strt,289.57,320.1691081081081,369.5,4.0,,
npf,icelltype,1.0,1.0,1.0,0.0,,
npf,icelltype,1.0,1.0,1.0,1.0,,
npf,icelltype,1.0,1.0,1.0,2.0,,
npf,icelltype,1.0,1.0,1.0,3.0,,
npf,icelltype,1.0,1.0,1.0,4.0,,
npf,k,103.2682,124.50851301369862,137.1336,0.0,,
npf,k,103.2682,123.993762012987,137.1336,1.0,,
npf,k,4.180336,6.102862293604652,104.8722,2.0,,
npf,k,8.829629,37.39796848725212,43.87012,3.0,,
npf,k,3.489087,3.907477513513514,4.517093,4.0,,
npf,k33,1.056902,1.1802009520547945,1.375543,0.0,,
npf,k33,1.056902,1.1823431525974026,1.375543,1.0,,
npf,k33,0.977348,1.1806896851744184,1.375543,2.0,,
npf,k33,0.4802028,1.3562609079320112,1.447393,3.0,,
npf,k33,0.1868715,0.2072785854054054,0.2292552,4.0,,
sto,iconvert,1.0,1.0,1.0,0.0,,
sto,iconvert,1.0,1.0,1.0,1.0,,
sto,iconvert,1.0,1.0,1.0,2.0,,
sto,iconvert,1.0,1.0,1.0,3.0,,
sto,iconvert,1.0,1.0,1.0,4.0,,
sto,ss,9.536794e-07,9.63165779109589e-07,9.65023e-07,0.0,,
sto,ss,9.536794e-07,9.63168692207792e-07,9.65023e-07,1.0,,
sto,ss,9.536794e-07,9.835523453488372e-07,9.848924e-07,2.0,,
sto,ss,9.420643e-07,9.727683677053823e-07,9.749692e-07,3.0,,
sto,ss,6.883918e-07,7.09331908108108e-07,7.25981e-07,4.0,,
sto,sy,0.2030012,0.2713960133561644,0.2885512,0.0,,
sto,sy,0.2030012,0.2716184866883117,0.2885512,1.0,,
sto,sy,0.2030012,0.6116292165697674,0.6430755,2.0,,
sto,sy,0.1542075,0.15641119433427764,0.3259627,3.0,,
sto,sy,0.1508033,0.1676224881081081,0.1885514,4.0,,
rcha_0,irch,0.0,0.4945945945945946,4.0,,0.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,1.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,2.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,3.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,4.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,5.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,6.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,7.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,8.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,9.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,10.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,11.0,
rcha_0,irch,0.0,0.4945945945945946,4.0,,12.0,
rcha_0,recharge,0.0001784272,0.0007940666627027028,0.001176265,,0.0,
rcha_0,recharge,0.0,7.141713734275675e-05,0.0008120272,,1.0,
rcha_0,recharge,0.0,8.074988157567567e-05,0.0002674451,,2.0,
rcha_0,recharge,0.0,0.0007091380537945946,0.001315494,,3.0,
rcha_0,recharge,0.0002647604,0.0016063732481081082,0.002110064,,4.0,
rcha_0,recharge,0.0002505206,0.002678649138378378,0.003070744,,5.0,
rcha_0,recharge,0.0,3.084965945945946e-06,0.0002777556,,6.0,
rcha_0,recharge,0.0,2.5704531621621623e-06,0.0003131983,,7.0,
rcha_0,recharge,0.0,1.2040936256756756e-05,0.0005187029,,8.0,
rcha_0,recharge,0.0,2.244064810810811e-06,0.0002725723,,9.0,
rcha_0,recharge,0.0,0.00012210643380000002,0.003260003,,10.0,
rcha_0,recharge,0.0,5.142202370270271e-05,0.0008318387,,11.0,
rcha_0,recharge,0.0,3.9281105675675674e-05,0.0004512746,,12.0,
chd_0,head,286.259,299.2523903345725,313.393,,0.0,
chd_0,head,286.189,299.1884014869888,313.307,,1.0,
chd_0,head,286.14,299.132687732342,313.247,,2.0,
chd_0,head,286.133,299.14231970260215,313.281,,3.0,
chd_0,head,286.264,299.23276208178436,313.369,,4.0,
chd_0,head,286.447,299.4147881040892,313.586,,5.0,
chd_0,head,286.317,299.28255390334573,313.277,,6.0,
chd_0,head,286.232,299.16233828996286,312.935,,7.0,
chd_0,head,286.168,299.07377323420076,312.739,,8.0,
chd_0,head,286.117,299.00381412639405,312.621,,9.0,
chd_0,head,0.0,297.8830185873606,312.624,,10.0,
chd_0,head,0.0,297.832156133829,312.619,,11.0,
chd_0,head,0.0,295.4764089219331,312.582,,12.0,
obs_0,chd,,,,,,2.0
wel_0,q,-878.654,-463.7883,-48.9226,,0.0,
wel_0,q,0.0,0.0,0.0,,1.0,
wel_0,q,-944.903,-472.4515,0.0,,5.0,
wel_0,q,-4451.65,-2259.8936999999996,-68.1374,,6.0,
wel_0,q,-4308.04,-2417.778,-527.516,,7.0,
wel_0,q,-2584.83,-1450.6695,-316.509,,8.0,
wel_0,q,-953.924,-558.727,-163.53,,9.0,
wel_0,q,0.0,0.0,0.0,,10.0,
obs_1,wel,,,,,,2.0
obs_2,HEAD,,,,,,124.0
obs_2,HEADHEAD,,,,,,20.0
