per,rno,node,k,i,j,cond,stage,rbot,outreach,asum,line_id,name,boundname
0,1,28,3,0,28,54215.76,36.76473301432903,35.76473301432903,2,-2.4373188,18047206,Tallahatchie River,Tallahatchie River
0,2,63,3,1,28,70075.92,36.68284655613027,35.68284655613027,3,-1.7385654,18047206,Tallahatchie River,Tallahatchie River
0,3,98,3,2,28,70134.03,36.56557065923948,35.56557065923948,4,-0.73782706,18047206,Tallahatchie River,Tallahatchie River
0,4,133,3,3,28,83083.2,36.49498748779297,35.49498748779297,5,-0.26997793,18050368,Tallahatchie River,Tallahatchie River
0,5,134,3,3,29,55166.81,36.47979244453834,35.47979244453834,6,-3.6790602,18047208,Tallahatchie River,Tallahatchie River
0,6,169,3,4,29,28940.459,36.47480073244957,35.47480073244957,7,-3.0813699,18047208,Tallahatchie River,Tallahatchie River
0,7,170,3,4,30,60972.48,36.46946445781323,35.46946445781323,8,-2.4424224,18047208,Tallahatchie River,Tallahatchie River
0,8,205,3,5,30,71597.04,36.461596544163825,35.461596544163825,9,-1.5003452,18047208,Tallahatchie River,Tallahatchie River
0,9,240,3,6,30,83623.016,36.45320673499033,35.45320673499033,10,-0.495778,18047208,Tallahatchie River,Tallahatchie River
0,10,275,3,7,30,4590.2026,36.400560233208,35.400560233208,11,-2.1511984,18047212,Tallahatchie River,Tallahatchie River
0,11,274,3,7,29,80132.32,36.37433025677423,35.37433025677423,12,-1.5301536,18047212,Tallahatchie River,Tallahatchie River
0,12,309,3,8,29,42989.582,36.33621188085833,35.33621188085833,13,-0.62762856,18047212,Tallahatchie River,Tallahatchie River
0,13,308,3,8,28,31601.148,36.31630309515328,35.31630309515328,14,-0.15625018,18047212,Tallahatchie River,Tallahatchie River
0,14,343,3,9,28,66631.08,36.278437098302824,35.278437098302824,15,-1.0899674,17991434,Tallahatchie River,Tallahatchie River
0,15,378,3,10,28,22435.033,36.236642693809415,35.236642693809415,16,-0.41240093,17991434,Tallahatchie River,Tallahatchie River
0,16,379,3,10,29,55041.754,36.218659773363036,35.218659773363036,17,-0.1208637,17991434,Tallahatchie River,Tallahatchie River
0,17,414,3,11,29,39694.203,36.19172922227266,35.19172922227266,18,-1.3606031,17991436,Tallahatchie River,Tallahatchie River
0,18,415,3,11,30,68682.14,36.138556160984045,35.138556160984045,19,-0.5277868,17991436,Tallahatchie River,Tallahatchie River
0,19,416,3,11,31,102661.69,36.088553443642155,35.088553443642155,20,-10.5919485,17991438,Tallahatchie River,Tallahatchie River
0,20,451,3,12,31,71984.914,36.06081568658675,35.06081568658675,21,-9.298032,17991438,Tallahatchie River,Tallahatchie River
0,21,486,3,13,31,77626.12,36.03705413281975,35.03705413281975,22,-8.189597,17991438,Tallahatchie River,Tallahatchie River
0,22,521,3,14,31,42800.133,36.01792777528143,35.01792777528143,23,-7.297387,17991438,Tallahatchie River,Tallahatchie River
0,23,520,3,14,30,71675.38,35.99974652670302,34.99974652670302,24,-6.449264,17991438,Tallahatchie River,Tallahatchie River
0,24,555,3,15,30,11104.552,35.98659923169349,34.98659923169349,25,-5.835966,17991438,Tallahatchie River,Tallahatchie River
0,25,554,3,15,29,66944.18,35.97420336380626,34.97420336380626,26,-5.257721,17991438,Tallahatchie River,Tallahatchie River
0,26,589,3,16,29,75324.21,35.95160799378238,34.95160799378238,27,-4.2036867,17991438,Tallahatchie River,Tallahatchie River
0,27,588,3,16,28,28960.357,35.935045278905356,34.935045278905356,28,-3.431066,17991438,Tallahatchie River,Tallahatchie River
0,28,623,3,17,28,53501.664,35.921948488657975,34.921948488657975,29,-2.8201237,17991438,Tallahatchie River,Tallahatchie River
0,29,622,3,17,27,49742.805,35.905550968839236,34.905550968839236,30,-2.055209,17991438,Tallahatchie River,Tallahatchie River
0,30,657,3,18,27,41257.82,35.891098044606515,34.891098044606515,31,-1.381006,17991438,Tallahatchie River,Tallahatchie River
0,31,656,3,18,26,44065.37,35.87754683710749,34.87754683710749,32,-0.74886596,17991438,Tallahatchie River,Tallahatchie River
0,32,691,3,19,26,68917.695,35.870548248291016,34.870548248291016,33,-3.4413886,17991442,Tallahatchie River,Tallahatchie River
0,33,726,3,20,26,69567.28,35.870548248291016,34.870548248291016,34,-2.6456404,17991442,Tallahatchie River,Tallahatchie River
0,34,762,3,21,27,83245.1,35.870548248291016,34.870548248291016,35,-1.490241,17991442,Tallahatchie River,Tallahatchie River
0,35,763,3,21,28,71850.44,35.870548248291016,34.870548248291016,36,-0.443961,17991442,Tallahatchie River,Tallahatchie River
0,36,764,3,21,29,69912.74,35.870548248291016,34.870548248291016,37,-1.1274474,17990952,Tallahatchie River,Tallahatchie River
0,37,729,3,20,29,82503.375,35.870548248291016,34.870548248291016,38,-0.30111322,17990952,Tallahatchie River,Tallahatchie River
0,38,694,3,19,29,37985.582,35.72455644106449,34.72455644106449,39,-1.7943153,17991440,Tallahatchie River,Tallahatchie River
0,39,695,3,19,30,40011.617,35.424786100894465,34.424786100894465,40,-1.186642,17991440,Tallahatchie River,Tallahatchie River
0,40,660,3,18,30,81841.33,35.25569568453636,34.25569568453636,41,-2.2603693,18046708,Tallahatchie River,Tallahatchie River
0,41,661,3,18,31,69803.9,35.2434666578379,34.2434666578379,42,-1.6422017,18046708,Tallahatchie River,Tallahatchie River
0,42,662,3,18,32,76889.11,35.222151694139995,34.222151694139995,43,-0.56474745,18046708,Tallahatchie River,Tallahatchie River
0,43,732,3,20,32,81219.39,35.136000527145164,34.136000527145164,44,-2.055135,18047238,Tallahatchie River,Tallahatchie River
0,44,767,3,21,32,85714.99,34.981892494642295,33.981892494642295,45,-0.7995342,18047238,Tallahatchie River,Tallahatchie River
0,45,802,3,22,32,56278.22,34.892032845108204,33.892032845108204,46,-5.0178156,18047240,Tallahatchie River,Tallahatchie River
0,46,801,3,22,31,63359.742,34.86651774300691,33.86651774300691,47,-4.2025695,18047240,Tallahatchie River,Tallahatchie River
0,47,836,3,23,31,8684.392,34.84970671852673,33.84970671852673,48,-3.6654322,18047240,Tallahatchie River,Tallahatchie River
0,48,835,3,23,30,99781.68,34.82439686639502,33.82439686639502,49,-2.8567448,18047240,Tallahatchie River,Tallahatchie River
0,49,870,3,24,30,3573.1084,34.800279709387496,33.800279709387496,50,-2.0861652,18047240,Tallahatchie River,Tallahatchie River
0,50,869,3,24,29,66641.09,34.783895685532755,33.783895685532755,51,-1.5626711,18047240,Tallahatchie River,Tallahatchie River
0,51,904,3,25,29,70166.734,34.75197246226275,33.75197246226275,52,-0.5426766,18047240,Tallahatchie River,Tallahatchie River
0,52,939,3,26,29,4652.1577,34.45675086975098,33.45675086975098,53,-0.5422309,18047242,Tallahatchie River,Tallahatchie River
0,53,940,3,26,30,130822.63,33.86354064941406,32.86354064941406,0,-0.27597585,25352514,Yazoo River,Yazoo River
